INCOME,AGE,GENDER,HOURS_working,JOB_TYPE,EXPERIECE_in_YEARS
 <=50K,23,2,25, Sales,4
 <=50K,22,2,42, Sales,5
 >50K,31,1,40, Sales,23
 >50K,44,2,70, Sales,21
 >50K,35,1,60, Sales,7
 <=50K,28,3,35, Tech-support,3
 <=50K,25,2,40, Sales,5
 <=50K,46,1,40, Sales,5
 <=50K,26,3,50, Sales,3
 <=50K,48,2,50, Sales,8
 <=50K,27,2,40, Sales,6
 <=50K,24,2,37, Tech-support,6
 <=50K,20,1,50, Sales,4
 <=50K,32,2,40, Sales,8
 >50K,49,2,80, Sales,24
 <=50K,27,2,40, Sales,6
 <=50K,22,1,50, Sales,6
 >50K,35,2,45, Sales,10
 >50K,33,2,45, Sales,24
 <=50K,29,1,40, Tech-support,6
 <=50K,36,2,40, Tech-support,5
 <=50K,20,1,45, Sales,8
 >50K,33,1,60, Sales,11
 <=50K,28,1,40, Tech-support,3
 >50K,61,2,40, Sales,13
 >50K,38,3,42, Sales,14
 >50K,44,2,60, Sales,16
 <=50K,23,1,30, Sales,7
 >50K,46,2,40, Sales,8
 <=50K,71,2,16, Tech-support,3
 <=50K,31,1,37, Tech-support,7
 <=50K,51,1,40, Sales,7
 <=50K,46,2,52, Sales,7
 >50K,65,2,40, Sales,24
 <=50K,23,2,50, Sales,3
 <=50K,27,2,40, Tech-support,4
 >50K,31,2,90, Sales,14
 <=50K,32,3,48, Sales,3
 <=50K,35,2,65, Sales,4
 <=50K,31,2,40, Sales,5
 <=50K,29,2,50, Sales,5
 <=50K,37,3,40, Sales,5
 <=50K,24,2,50, Sales,7
 >50K,52,1,60, Sales,22
 <=50K,18,2,16, Sales,6
 >50K,50,1,60, Sales,22
 <=50K,20,2,20, Sales,5
 <=50K,44,1,50, Sales,7
 >50K,38,1,40, Sales,20
 >50K,35,2,45, Sales,11
 >50K,38,2,48, Sales,25
 >50K,26,1,40, Tech-support,17
 >50K,43,1,40, Sales,16
 >50K,38,2,40, Sales,18
 <=50K,19,2,36, Sales,3
 <=50K,19,2,30, Sales,8
 <=50K,58,1,40, Sales,3
 >50K,63,1,40, Sales,23
 >50K,42,2,40, Tech-support,18
 <=50K,68,2,40, Sales,4
 <=50K,45,3,55, Sales,4
 <=50K,47,3,70, Sales,8
 >50K,44,1,18, Tech-support,9
 <=50K,27,2,40, Sales,8
 <=50K,30,2,48, Sales,3
 >50K,49,1,50, Sales,11
 <=50K,21,3,30, Sales,4
 <=50K,35,1,40, Sales,6
 <=50K,35,1,40, Sales,3
 >50K,54,2,45, Sales,25
 <=50K,30,1,35, Sales,8
 >50K,47,2,70, Sales,25
 >50K,37,1,55, Sales,15
 <=50K,28,1,40, Sales,6
 <=50K,39,2,50, Sales,3
 <=50K,44,2,40, Tech-support,6
 >50K,53,3,50, Sales,22
 <=50K,24,2,50, Sales,4
 <=50K,35,1,50, Sales,7
 >50K,51,2,47, Sales,15
 >50K,43,3,55, Sales,22
 >50K,66,1,40, Sales,21
 <=50K,25,2,40, Tech-support,6
 >50K,33,2,50, Sales,23
 >50K,57,1,65, Sales,18
 >50K,63,3,68, Sales,19
 <=50K,29,2,30, Sales,7
 <=50K,32,3,40, Sales,3
 >50K,33,2,48, Sales,12
 <=50K,35,1,40, Tech-support,7
 >50K,29,3,40, Sales,13
 >50K,43,2,50, Sales,8
 <=50K,19,2,10, Sales,6
 <=50K,41,2,40, Sales,3
 <=50K,23,3,45, Sales,7
 <=50K,26,3,60, Tech-support,7
 >50K,45,1,40, Sales,19
 >50K,26,1,40, Sales,16
 >50K,65,3,60, Sales,14
 <=50K,32,3,50, Sales,6
 >50K,29,2,40, Sales,24
 >50K,56,1,50, Sales,9
 <=50K,18,1,40, Sales,8
 <=50K,54,3,50, Sales,8
 <=50K,26,3,40, Tech-support,3
 <=50K,20,3,24, Tech-support,3
 <=50K,46,2,40, Sales,3
 <=50K,42,2,40, Sales,5
 >50K,50,2,40, Tech-support,9
 >50K,39,2,60, Sales,11
 <=50K,41,2,50, Sales,7
 <=50K,54,2,48, Sales,4
 >50K,57,2,40, Sales,19
 <=50K,27,1,40, Sales,3
 <=50K,34,2,65, Sales,6
 <=50K,25,3,50, Sales,8
 <=50K,51,2,40, Sales,6
 >50K,55,3,50, Sales,19
 <=50K,19,3,30, Sales,8
 <=50K,25,3,20, Sales,7
 >50K,32,2,40, Tech-support,9
 >50K,55,3,60, Sales,22
 >50K,70,1,70, Sales,19
 <=50K,64,3,40, Tech-support,8
 <=50K,56,3,40, Sales,7
 >50K,50,3,45, Tech-support,15
 <=50K,42,2,45, Sales,6
 >50K,34,2,55, Sales,22
 >50K,43,2,40, Sales,18
 >50K,43,2,65, Sales,16
 >50K,55,2,18, Tech-support,7
 <=50K,26,2,40, Sales,8
 >50K,61,2,45, Sales,9
 <=50K,30,2,50, Sales,8
 <=50K,20,2,50, Sales,8
 <=50K,27,2,40, Sales,5
 >50K,50,1,45, Sales,18
 >50K,47,3,40, Sales,19
 <=50K,29,1,25, Sales,8
 <=50K,42,2,40, Sales,7
 <=50K,24,1,40, Sales,5
 <=50K,26,3,40, Sales,8
 <=50K,38,2,38, Sales,8
 >50K,49,3,52, Sales,22
 <=50K,27,3,20, Sales,6
 >50K,61,1,44, Sales,8
 <=50K,33,2,25, Sales,5
 <=50K,49,1,35, Tech-support,5
 >50K,61,3,60, Sales,20
 <=50K,31,3,40, Sales,8
 <=50K,48,3,44, Sales,5
 <=50K,20,1,40, Sales,8
 <=50K,18,2,15, Sales,7
 <=50K,32,3,40, Sales,7
 <=50K,28,3,40, Sales,4
 <=50K,18,2,20, Sales,5
 <=50K,35,2,55, Tech-support,6
 <=50K,52,1,60, Sales,6
 >50K,35,3,60, Sales,16
 <=50K,35,1,50, Sales,4
 >50K,62,1,40, Sales,24
 <=50K,39,2,30, Sales,4
 >50K,50,2,65, Sales,19
 >50K,49,2,55, Sales,13
 >50K,36,2,50, Sales,8
 <=50K,39,3,40, Sales,5
 >50K,48,1,40, Sales,18
 <=50K,46,1,45, Sales,5
 <=50K,23,3,20, Sales,3
 <=50K,30,2,40, Tech-support,6
 <=50K,22,2,60, Tech-support,5
 <=50K,19,3,28, Sales,8
 <=50K,27,1,44, Sales,4
 <=50K,36,1,35, Sales,7
 >50K,45,1,40, Tech-support,19
 >50K,57,2,40, Sales,25
 <=50K,39,1,40, Sales,7
 >50K,34,1,60, Sales,25
 <=50K,19,2,25, Sales,4
 <=50K,54,3,40, Sales,6
 <=50K,46,1,60, Sales,6
 <=50K,35,3,40, Sales,4
 <=50K,50,3,60, Sales,8
 >50K,35,3,40, Sales,19
 <=50K,46,1,40, Tech-support,5
 <=50K,18,2,20, Sales,5
 >50K,37,1,40, Tech-support,19
 >50K,46,3,50, Sales,7
 >50K,36,3,50, Sales,13
 <=50K,46,1,35, Sales,7
 <=50K,29,2,40, Sales,7
 <=50K,25,3,40, Sales,4
 <=50K,24,2,40, Sales,4
 <=50K,23,1,48, Tech-support,8
 >50K,40,2,48, Tech-support,7
 >50K,52,2,40, Tech-support,12
 <=50K,30,2,40, Tech-support,4
 <=50K,63,1,27, Sales,7
 >50K,39,2,40, Sales,23
 <=50K,21,3,30, Sales,6
 <=50K,47,3,45, Sales,8
 >50K,25,2,44, Sales,10
 <=50K,38,2,50, Tech-support,5
 >50K,28,3,40, Tech-support,20
 <=50K,51,1,60, Sales,7
 >50K,43,1,40, Sales,22
 <=50K,49,1,35, Sales,3
 <=50K,45,2,30, Sales,3
 >50K,30,2,50, Tech-support,9
 <=50K,48,3,35, Sales,8
 <=50K,42,3,40, Tech-support,3
 <=50K,63,2,40, Sales,6
 <=50K,28,3,40, Sales,8
 >50K,35,3,50, Sales,14
 <=50K,40,1,44, Sales,5
 <=50K,19,1,40, Sales,3
 <=50K,44,1,60, Sales,7
 >50K,40,2,55, Sales,18
 <=50K,19,2,16, Tech-support,3
 <=50K,30,2,50, Sales,8
 <=50K,40,3,45, Sales,7
 <=50K,23,3,50, Sales,4
 <=50K,29,2,48, Sales,3
 <=50K,25,2,38, Sales,4
 <=50K,47,2,60, Sales,4
 <=50K,25,2,45, Sales,5
 >50K,46,3,40, Tech-support,9
 <=50K,21,3,40, Sales,7
 <=50K,64,2,5, Sales,5
 <=50K,26,3,40, Tech-support,5
 <=50K,34,1,30, Sales,7
 <=50K,35,1,36, Sales,7
 <=50K,24,3,45, Sales,5
 <=50K,68,2,30, Sales,6
 <=50K,46,3,50, Sales,8
 <=50K,23,2,45, Sales,3
 <=50K,22,1,20, Sales,4
 <=50K,31,3,40, Sales,5
 <=50K,23,3,45, Sales,7
 <=50K,21,1,15, Sales,7
 <=50K,21,2,25, Tech-support,6
 <=50K,18,1,20, Sales,3
 >50K,32,2,40, Sales,16
 >50K,42,3,50, Sales,24
 <=50K,20,3,40, Sales,4
 <=50K,24,2,40, Sales,5
 <=50K,24,2,40, Sales,4
 <=50K,31,1,50, Sales,8
 >50K,52,1,50, Sales,14
 <=50K,26,2,48, Sales,5
 <=50K,28,2,60, Sales,6
 <=50K,40,1,40, Sales,6
 <=50K,30,2,40, Sales,4
 <=50K,43,3,50, Sales,3
 <=50K,29,2,50, Sales,3
 <=50K,33,2,40, Sales,7
 >50K,31,2,40, Sales,14
 <=50K,39,2,38, Sales,4
 >50K,54,2,40, Sales,11
 <=50K,26,2,50, Sales,4
 <=50K,41,2,40, Tech-support,4
 <=50K,26,2,15, Sales,6
 <=50K,48,2,35, Sales,4
 >50K,45,2,52, Sales,13
 <=50K,25,2,50, Sales,4
 <=50K,26,2,20, Tech-support,8
 <=50K,22,2,42, Sales,7
 <=50K,55,3,40, Sales,6
 >50K,28,2,40, Sales,11
 >50K,65,2,35, Sales,14
 <=50K,54,2,60, Sales,6
 >50K,40,2,40, Tech-support,20
 <=50K,22,2,20, Sales,8
 >50K,46,3,50, Sales,9
 <=50K,33,3,20, Tech-support,7
 >50K,40,3,60, Sales,8
 <=50K,47,1,50, Sales,5
 >50K,26,1,50, Sales,25
 <=50K,25,3,40, Tech-support,3
 <=50K,22,3,65, Sales,3
 >50K,35,1,45, Sales,25
 <=50K,26,1,45, Sales,7
 >50K,42,2,40, Sales,16
 <=50K,29,2,40, Tech-support,3
 >50K,46,3,40, Sales,18
 <=50K,24,3,60, Sales,4
 >50K,44,3,60, Sales,21
 >50K,45,3,48, Sales,8
 <=50K,55,1,38, Tech-support,3
 <=50K,30,3,16, Sales,8
 <=50K,53,1,55, Sales,5
 >50K,44,1,50, Sales,9
 <=50K,22,2,40, Sales,6
 <=50K,32,3,40, Sales,4
 <=50K,22,2,40, Sales,7
 <=50K,27,2,40, Sales,5
 <=50K,23,1,20, Sales,7
 <=50K,21,2,20, Sales,6
 <=50K,63,1,35, Sales,4
 <=50K,24,1,40, Sales,4
 <=50K,26,1,20, Sales,8
 <=50K,28,3,45, Sales,5
 <=50K,49,1,60, Sales,3
 >50K,38,3,40, Tech-support,7
 <=50K,21,3,20, Sales,8
 <=50K,42,1,40, Tech-support,7
 >50K,51,2,40, Sales,24
 >50K,57,1,40, Sales,20
 <=50K,23,3,43, Sales,3
 <=50K,44,1,50, Sales,3
 <=50K,21,3,8, Sales,6
 >50K,41,3,60, Sales,23
 <=50K,26,1,45, Sales,6
 >50K,35,1,40, Tech-support,7
 >50K,37,2,45, Sales,7
 <=50K,67,2,70, Sales,4
 >50K,53,2,43, Sales,11
 <=50K,48,2,40, Sales,4
 <=50K,28,2,40, Sales,7
 >50K,39,2,55, Sales,16
 >50K,61,2,18, Tech-support,13
 <=50K,22,2,40, Sales,6
 <=50K,38,1,40, Sales,7
 >50K,62,3,45, Sales,21
 <=50K,25,2,50, Sales,6
 <=50K,20,1,25, Sales,8
 >50K,43,2,40, Sales,19
 <=50K,46,3,40, Tech-support,7
 <=50K,44,2,40, Sales,8
 >50K,44,1,20, Tech-support,16
 <=50K,28,3,48, Sales,8
 >50K,29,1,50, Sales,15
 <=50K,23,1,25, Sales,6
 <=50K,19,2,30, Sales,3
 >50K,37,1,60, Tech-support,16
 <=50K,25,3,40, Tech-support,8
 <=50K,41,1,33, Sales,3
 >50K,30,3,50, Sales,16
 <=50K,41,3,30, Tech-support,4
 >50K,53,1,60, Sales,20
 <=50K,63,1,60, Sales,8
 >50K,24,3,45, Sales,24
 <=50K,42,3,40, Tech-support,4
 <=50K,24,2,40, Sales,4
 >50K,46,2,40, Tech-support,7
 <=50K,37,2,40, Tech-support,7
 <=50K,41,2,15, Sales,7
 <=50K,26,2,40, Tech-support,8
 <=50K,20,2,10, Tech-support,6
 <=50K,39,2,40, Sales,7
 >50K,35,2,40, Sales,22
 <=50K,65,2,40, Sales,6
 <=50K,66,2,50, Sales,4
 >50K,36,3,45, Sales,14
 <=50K,26,2,20, Sales,6
 <=50K,39,3,55, Sales,8
 >50K,71,1,35, Sales,9
 <=50K,24,2,20, Tech-support,7
 <=50K,34,1,40, Sales,8
 <=50K,26,3,40, Tech-support,6
 >50K,35,2,30, Sales,14
 <=50K,23,3,40, Tech-support,6
 <=50K,61,2,30, Sales,7
 <=50K,42,1,40, Sales,3
 <=50K,31,2,55, Sales,7
 <=50K,20,2,18, Sales,8
 <=50K,31,2,45, Sales,6
 <=50K,40,2,48, Tech-support,6
 <=50K,46,2,40, Tech-support,6
 <=50K,27,3,40, Sales,8
 <=50K,39,2,40, Sales,3
 <=50K,25,1,24, Sales,7
 <=50K,27,1,25, Sales,5
 >50K,40,1,40, Sales,10
 >50K,42,3,20, Tech-support,23
 <=50K,28,2,40, Sales,6
 >50K,43,1,40, Tech-support,24
 <=50K,23,3,60, Sales,7
 <=50K,26,3,42, Sales,3
 <=50K,31,1,30, Sales,5
 >50K,51,3,50, Sales,21
 <=50K,32,1,55, Sales,6
 >50K,41,2,25, Tech-support,16
 <=50K,20,1,8, Sales,4
 <=50K,25,3,25, Tech-support,3
 >50K,39,3,50, Sales,8
 <=50K,43,2,40, Tech-support,6
 <=50K,31,3,48, Sales,8
 <=50K,24,2,40, Sales,3
 <=50K,36,1,44, Sales,6
 <=50K,24,2,40, Tech-support,7
 <=50K,22,3,8, Tech-support,4
 >50K,34,2,40, Sales,7
 >50K,42,1,25, Sales,8
 <=50K,19,2,25, Sales,4
 <=50K,33,2,52, Sales,3
 <=50K,24,2,40, Sales,3
 <=50K,26,2,45, Sales,6
 >50K,29,2,40, Sales,15
 <=50K,61,1,40, Sales,8
 <=50K,20,1,40, Sales,8
 <=50K,26,1,40, Sales,7
 >50K,48,2,50, Sales,12
 <=50K,25,2,40, Tech-support,7
 >50K,41,2,40, Tech-support,23
 >50K,39,2,50, Sales,10
 <=50K,41,2,55, Sales,4
 <=50K,19,2,35, Sales,4
 >50K,45,2,42, Sales,8
 <=50K,28,2,50, Sales,5
 >50K,39,3,40, Tech-support,22
 <=50K,33,3,50, Sales,6
 >50K,40,3,50, Sales,10
 >50K,34,2,40, Tech-support,21
 <=50K,43,2,10, Sales,3
 <=50K,20,1,18, Sales,3
 <=50K,24,3,55, Sales,3
 >50K,43,2,40, Sales,11
 <=50K,25,1,40, Tech-support,5
 >50K,41,1,25, Tech-support,24
 >50K,48,3,40, Sales,23
 <=50K,28,3,50, Sales,5
 <=50K,81,1,15, Sales,4
 >50K,31,2,40, Sales,11
 >50K,49,3,40, Sales,20
 <=50K,18,2,15, Sales,3
 >50K,35,2,60, Sales,12
 >50K,45,1,42, Sales,20
 <=50K,45,2,46, Sales,7
 <=50K,22,1,48, Sales,8
 >50K,30,3,40, Tech-support,22
 <=50K,42,3,60, Sales,7
 <=50K,21,1,25, Sales,6
 <=50K,24,2,50, Sales,3
 <=50K,30,3,45, Tech-support,5
 >50K,38,2,40, Sales,10
 <=50K,27,3,30, Tech-support,8
 <=50K,25,1,40, Sales,4
 >50K,28,1,60, Sales,12
 <=50K,47,2,40, Tech-support,5
 <=50K,24,1,45, Sales,5
 >50K,58,2,40, Sales,21
 >50K,51,1,43, Sales,25
 <=50K,49,1,55, Sales,6
 <=50K,37,1,20, Tech-support,8
 >50K,31,2,65, Sales,20
 >50K,41,2,65, Sales,10
 >50K,37,3,40, Tech-support,18
 <=50K,32,3,20, Tech-support,6
 >50K,32,1,40, Sales,7
 <=50K,47,3,6, Sales,5
 >50K,37,1,40, Tech-support,15
 <=50K,20,1,30, Sales,4
 <=50K,26,3,60, Sales,6
 <=50K,20,1,30, Sales,5
 <=50K,33,2,40, Sales,5
 <=50K,41,2,30, Sales,4
 <=50K,30,3,40, Sales,4
 <=50K,27,3,40, Tech-support,5
 <=50K,26,1,48, Sales,8
 <=50K,19,2,20, Sales,8
 <=50K,33,3,40, Sales,5
 <=50K,31,3,45, Tech-support,8
 >50K,67,1,48, Sales,7
 <=50K,21,2,20, Sales,6
 >50K,40,3,40, Sales,14
 >50K,49,3,40, Tech-support,18
 <=50K,35,3,40, Sales,6
 <=50K,23,3,40, Tech-support,4
 <=50K,19,3,40, Sales,5
 <=50K,23,1,15, Sales,5
 >50K,46,1,45, Tech-support,7
 <=50K,31,3,35, Sales,6
 >50K,47,2,60, Sales,13
 >50K,35,2,52, Sales,18
 <=50K,45,2,40, Sales,6
 <=50K,26,3,40, Tech-support,3
 <=50K,45,1,40, Sales,5
 <=50K,22,3,43, Tech-support,7
 <=50K,35,2,50, Sales,4
 >50K,44,2,40, Sales,25
 <=50K,40,2,40, Sales,3
 <=50K,64,1,40, Sales,3
 >50K,30,3,52, Sales,8
 >50K,58,2,40, Tech-support,7
 >50K,29,3,40, Tech-support,12
 <=50K,58,3,45, Sales,7
 >50K,42,3,40, Tech-support,8
 <=50K,41,3,40, Tech-support,7
 >50K,50,2,60, Tech-support,12
 <=50K,24,3,50, Sales,3
 <=50K,43,1,40, Tech-support,7
 <=50K,26,1,30, Sales,6
 >50K,54,2,54, Sales,22
 <=50K,38,2,40, Sales,8
 <=50K,30,3,60, Sales,6
 >50K,51,3,40, Tech-support,10
 >50K,43,2,43, Sales,15
 <=50K,35,2,40, Sales,3
 <=50K,24,3,16, Tech-support,6
 >50K,51,3,40, Sales,23
 <=50K,22,1,40, Sales,8
 <=50K,24,1,35, Sales,5
 <=50K,29,1,26, Sales,8
 >50K,54,1,45, Sales,11
 <=50K,20,3,20, Sales,8
 >50K,40,3,60, Sales,7
 <=50K,44,2,30, Sales,4
 >50K,45,1,65, Sales,15
 <=50K,20,1,40, Sales,8
 <=50K,34,2,38, Sales,5
 <=50K,42,2,60, Sales,6
 >50K,38,1,42, Sales,14
 <=50K,50,1,40, Sales,6
 >50K,55,1,50, Sales,19
 <=50K,25,3,40, Sales,8
 <=50K,23,2,30, Sales,3
 <=50K,19,3,35, Sales,4
 <=50K,42,3,60, Sales,6
 <=50K,22,1,40, Tech-support,4
 <=50K,24,3,49, Sales,3
 >50K,48,3,50, Sales,14
 <=50K,42,3,40, Tech-support,6
 >50K,32,1,60, Sales,25
 >50K,35,3,52, Sales,20
 >50K,39,1,50, Sales,15
 <=50K,25,2,40, Sales,8
 >50K,30,1,55, Sales,17
 <=50K,25,1,25, Sales,3
 >50K,47,3,40, Sales,16
 <=50K,33,2,35, Sales,3
 <=50K,46,3,55, Sales,4
 <=50K,22,1,30, Sales,3
 <=50K,20,3,30, Sales,5
 <=50K,25,2,40, Tech-support,3
 <=50K,31,3,50, Sales,5
 <=50K,26,3,18, Sales,5
 >50K,49,3,45, Sales,18
 >50K,38,2,50, Sales,24
 <=50K,39,2,40, Tech-support,7
 >50K,38,3,40, Sales,14
 >50K,27,1,40, Sales,7
 >50K,27,2,40, Tech-support,20
 <=50K,22,1,40, Sales,7
 <=50K,19,2,40, Sales,4
 <=50K,26,2,40, Tech-support,5
 <=50K,32,1,30, Sales,8
 <=50K,21,2,25, Sales,6
 <=50K,27,2,40, Tech-support,5
 <=50K,23,1,15, Sales,5
 <=50K,39,3,65, Sales,5
 <=50K,21,1,20, Sales,7
 >50K,34,2,84, Tech-support,11
 <=50K,53,2,40, Sales,8
 <=50K,21,3,45, Sales,3
 <=50K,20,1,25, Sales,3
 >50K,46,2,40, Tech-support,10
 >50K,36,2,42, Sales,15
 <=50K,22,1,25, Sales,5
 >50K,41,1,45, Sales,25
 <=50K,30,2,40, Tech-support,4
 <=50K,36,3,40, Sales,3
 >50K,31,3,40, Sales,24
 <=50K,33,3,15, Tech-support,3
 <=50K,36,2,40, Sales,8
 >50K,36,2,40, Sales,8
 <=50K,20,2,20, Sales,7
 >50K,40,3,40, Sales,10
 >50K,57,3,40, Sales,21
 >50K,35,1,55, Sales,25
 >50K,34,2,60, Sales,15
 <=50K,21,1,30, Sales,5
 <=50K,53,3,40, Sales,6
 <=50K,24,3,43, Sales,5
 <=50K,25,2,45, Sales,6
 >50K,90,2,15, Sales,17
 <=50K,23,3,40, Tech-support,6
 <=50K,20,1,35, Sales,7
 >50K,43,3,44, Sales,25
 <=50K,32,1,40, Sales,5
 >50K,56,3,45, Sales,10
 >50K,50,3,40, Tech-support,24
 <=50K,25,1,40, Sales,7
 <=50K,40,1,40, Sales,4
 <=50K,28,1,40, Sales,5
 <=50K,19,3,35, Sales,3
 <=50K,35,2,40, Sales,4
 <=50K,58,2,36, Sales,5
 <=50K,72,2,6, Sales,7
 <=50K,18,3,15, Sales,5
 >50K,46,3,48, Sales,23
 >50K,47,1,40, Sales,24
 >50K,37,3,50, Tech-support,9
 >50K,46,3,40, Sales,12
 <=50K,24,3,50, Tech-support,6
 <=50K,22,1,18, Sales,8
 <=50K,34,3,45, Sales,5
 <=50K,29,3,40, Sales,3
 <=50K,36,3,40, Tech-support,4
 <=50K,51,3,40, Sales,7
 >50K,43,3,45, Sales,23
 >50K,35,1,50, Sales,11
 <=50K,46,1,40, Sales,6
 <=50K,21,2,15, Sales,6
 <=50K,19,1,40, Tech-support,3
 <=50K,39,3,40, Tech-support,4
 <=50K,28,1,65, Sales,8
 <=50K,46,3,50, Sales,3
 <=50K,21,3,16, Tech-support,8
 <=50K,55,3,40, Sales,6
 <=50K,25,1,40, Sales,4
 <=50K,37,2,40, Sales,8
 <=50K,61,2,40, Sales,6
 >50K,46,2,42, Sales,19
 >50K,40,3,70, Sales,12
 <=50K,20,2,20, Sales,7
 <=50K,44,3,48, Sales,3
 <=50K,26,1,40, Sales,7
 <=50K,35,2,28, Tech-support,8
 <=50K,41,1,40, Sales,8
 >50K,55,1,50, Sales,18
 <=50K,42,3,45, Sales,7
 <=50K,18,2,25, Sales,6
 <=50K,19,1,20, Sales,7
 <=50K,32,3,35, Sales,6
 <=50K,29,3,40, Tech-support,4
 <=50K,20,2,25, Sales,4
 >50K,51,2,40, Sales,9
 >50K,26,2,42, Sales,13
 <=50K,19,1,25, Sales,4
 <=50K,27,3,40, Tech-support,3
 <=50K,49,3,44, Sales,4
 <=50K,24,3,15, Sales,8
 <=50K,31,3,60, Tech-support,4
 <=50K,39,2,40, Sales,3
 <=50K,22,3,32, Sales,5
 >50K,61,1,40, Sales,24
 <=50K,35,2,50, Sales,7
 >50K,46,1,70, Sales,22
 <=50K,23,2,40, Sales,6
 >50K,32,2,45, Sales,13
 >50K,44,2,40, Sales,24
 >50K,37,3,44, Sales,23
 <=50K,23,2,25, Sales,3
 <=50K,43,3,50, Tech-support,4
 <=50K,22,3,55, Sales,5
 <=50K,32,2,45, Sales,7
 <=50K,29,2,60, Sales,6
 >50K,33,2,45, Tech-support,19
 >50K,63,3,40, Sales,15
 <=50K,39,2,40, Sales,3
 <=50K,43,2,50, Sales,8
 >50K,38,2,60, Sales,25
 <=50K,39,3,40, Sales,3
 <=50K,24,3,40, Sales,6
 <=50K,32,3,45, Sales,3
 <=50K,31,3,60, Sales,8
 <=50K,50,1,32, Sales,5
 <=50K,42,2,40, Sales,5
 <=50K,20,2,30, Sales,3
 <=50K,39,1,26, Sales,5
 >50K,55,2,40, Sales,19
 <=50K,32,2,40, Sales,8
 >50K,28,2,40, Tech-support,11
 <=50K,33,1,26, Sales,3
 <=50K,20,1,30, Sales,5
 >50K,63,3,18, Tech-support,21
 <=50K,39,2,50, Tech-support,3
 <=50K,44,2,35, Sales,3
 >50K,32,2,60, Sales,14
 <=50K,26,2,40, Sales,7
 <=50K,33,2,40, Sales,8
 >50K,31,1,50, Sales,18
 <=50K,50,2,40, Sales,5
 <=50K,20,1,20, Sales,6
 <=50K,29,2,45, Sales,6
 >50K,36,1,45, Sales,25
 <=50K,41,2,56, Sales,4
 >50K,48,3,60, Sales,11
 <=50K,50,2,45, Sales,8
 >50K,57,2,50, Sales,17
 <=50K,26,1,40, Sales,6
 >50K,45,2,45, Tech-support,10
 <=50K,20,3,40, Sales,5
 >50K,36,3,45, Sales,20
 >50K,29,3,50, Sales,21
 <=50K,27,1,20, Tech-support,4
 >50K,55,1,20, Tech-support,7
 >50K,38,3,50, Sales,18
 >50K,46,3,72, Sales,12
 <=50K,49,1,30, Sales,7
 <=50K,45,3,52, Sales,4
 <=50K,52,2,40, Tech-support,5
 <=50K,35,1,70, Sales,5
 >50K,25,2,45, Sales,17
 <=50K,23,1,28, Sales,7
 <=50K,27,3,30, Tech-support,7
 >50K,38,1,60, Sales,24
 <=50K,24,3,40, Tech-support,5
