Row Id,Zipcode,homeowner_dummy,gender_dummy,LAST_GIFT_amount,totalmonths_from_last_gift,AVG_for_past_GIFTs,Donated_in_previous_event,gift_ammount_in_prev_event
55,97403,0,1,15,37,8.2,No,0
56,97404,1,1,7,30,6.461538462,No,0
57,97403,1,0,5,29,4.7,Yes,5
58,97404,1,1,15,32,9.55,Yes,12
59,97404,1,1,15,31,8,Yes,15
60,97402,1,1,6,28,7.6,Yes,10
61,97401,1,0,12,28,11,Yes,15
62,97404,0,1,11,32,9.3,Yes,12
63,97404,1,1,15,37,15,No,0
64,97402,0,0,15,33,13.4,No,0
65,97404,0,0,50,30,16.33333333,No,0
66,97404,1,0,10,19,11.5,No,0
67,97404,1,1,5,28,6.5,No,0
68,97404,1,1,7,31,7.333333333,Yes,7
69,97403,1,1,25,28,14.38461539,Yes,23
70,97401,0,0,7,33,6.857142857,No,0
71,97401,1,1,14,31,10.3125,No,0
72,97403,1,1,20,36,20,Yes,20
73,97403,1,0,16,37,13,No,0
74,97401,1,0,10,31,6.75,Yes,7
75,97401,0,0,40,29,21.33333333,No,0
76,97402,1,0,10,33,6.363636364,Yes,10
77,97402,1,0,3,30,3.457142857,No,0
78,97402,1,1,3,21,7.692307692,Yes,3
79,97404,1,0,4,28,4.533333333,Yes,5
80,97403,1,1,15,36,14.22222222,Yes,20
81,97404,1,0,20,33,12.5,Yes,11
82,97403,1,1,15,32,10,Yes,10
83,97401,1,1,37,37,23,No,0
84,97403,1,0,6,28,4.217391304,Yes,5
85,97404,0,1,10,31,8.166666667,No,0
86,97404,0,1,8,28,7.7,No,0
87,97404,1,1,30,37,30,Yes,50
88,97404,0,1,10,28,7.75,No,0
89,97404,1,1,15,28,10,No,0
90,97402,1,1,11,36,7.3,No,0
91,97403,0,1,25,30,14,No,0
92,97401,1,0,3,32,4.9,Yes,4
93,97403,1,1,10,31,10.81818182,Yes,10
94,97402,0,0,5,30,4.714285714,No,0
95,97401,1,1,7,28,7.136363636,Yes,7
96,97402,1,1,35,29,22.5,No,0
97,97402,0,0,13,33,11.5,Yes,15
98,97404,1,1,10,33,9.1,No,0
99,97401,0,1,20,23,14,No,0
100,97404,1,1,30,37,30,No,0
101,97403,0,1,10,31,9.428571429,Yes,14
102,97404,1,1,3,29,3.307692308,No,0
103,97403,0,1,16,35,12,No,0
104,97401,1,0,16,37,13,No,0
105,97402,0,0,12,26,9,No,0
106,97404,1,1,20,37,20,Yes,20
107,97404,0,0,25,37,25,No,0
108,97402,0,0,7,32,6,No,0
109,97401,1,0,20,33,15,Yes,25
110,97404,1,1,15,19,5.201612903,No,0
111,97401,1,1,10,17,4.285714286,Yes,8
112,97404,1,0,10,32,8.75,Yes,5
113,97402,1,0,13,32,11.4,No,0
114,97404,0,0,22,23,10.81818182,Yes,22
115,97403,1,0,5,28,4.434782609,Yes,5
116,97404,1,0,13,36,12.33333333,No,0
117,97402,1,1,10,37,9.0625,Yes,10
118,97403,1,0,7,30,6.181818182,Yes,5
119,97403,0,0,15,23,13.38888889,Yes,17
120,97404,1,1,50,37,25.33333333,No,0
121,97404,0,0,19,30,12.2,Yes,22
122,97402,1,1,10,31,5.111111111,Yes,6
123,97404,1,1,6,31,4.857142857,No,0
124,97404,1,1,20,36,20,Yes,20
125,97404,0,1,50,37,30,No,0
126,97404,1,1,16,31,12.5,Yes,14
127,97402,1,1,10,33,6.4,No,0
128,97402,0,1,5,29,3.7,No,0
129,97403,1,0,11,29,8.230769231,No,0
130,97404,0,0,25,37,25,No,0
131,97404,1,1,20,31,10,No,0
132,97404,1,1,6,30,7,No,0
133,97404,1,1,10,31,6.266666667,Yes,10
134,97404,1,0,12,29,11,No,0
135,97402,1,0,15,36,10,No,0
136,97403,1,0,20,37,20,Yes,20
137,97402,0,1,16,36,12,No,0
138,97402,0,1,8,29,7.25,No,0
139,97401,1,0,10,32,8.8,No,0
140,97404,0,1,5,28,5,No,0
141,97403,1,1,21,36,20.2,No,0
142,97403,1,0,6,35,5.181818182,Yes,6
143,97402,0,0,12,30,8.333333333,Yes,12
144,97404,1,0,11,35,9.6,No,0
145,97404,1,1,15,20,12.5,Yes,15
146,97401,0,1,6,29,5.666666667,Yes,7
147,97404,1,1,35,33,23,No,0
148,97401,1,0,20,37,20,Yes,20
149,97403,1,1,20,36,15.75,No,0
150,97404,0,1,5,17,5.055555556,Yes,5
151,97401,1,1,7,33,6,No,0
152,97402,1,0,4,34,6.764705882,No,0
153,97403,1,1,5,17,7.625,No,0
154,97402,0,0,6,30,3.722222222,Yes,5
155,97404,1,0,5,28,5.12,Yes,5
156,97402,1,0,10,37,5.403846154,Yes,7
157,97404,1,1,5,30,3.727272727,Yes,1
158,97404,1,0,5,31,5.666666667,Yes,25
159,97402,1,1,5,28,4.076923077,No,0
160,97401,1,0,10,18,6.098901099,Yes,10
161,97404,0,0,12,30,8.666666667,Yes,11
162,97401,1,0,22,29,21,No,0
163,97401,0,0,9,31,6.411764706,No,0
164,97401,1,0,6,34,6.166666667,Yes,6
165,97404,0,1,8,28,7.2,No,0
166,97402,0,0,10,32,9.222222222,No,0
167,97404,1,1,16,36,13,No,0
168,97404,1,0,15,28,10.09090909,Yes,10
169,97401,1,1,25,26,22.5,No,0
170,97401,0,1,15,30,10.42857143,No,0
171,97401,1,1,5,28,6.473684211,No,0
172,97402,1,1,5,30,3.613636364,Yes,4
173,97404,1,0,10,19,6.919354839,Yes,10
174,97404,1,1,13,29,10.07894737,No,0
175,97401,0,0,5,29,4.151515152,No,0
176,97402,0,0,15,37,10.57692308,Yes,15
177,97404,1,1,20,36,20,Yes,20
178,97402,1,0,6,29,5,No,0
179,97403,1,0,10,30,11.5,No,0
180,97402,1,0,10,37,8.4,No,0
181,97404,1,1,12,34,6.846153846,Yes,16
182,97404,1,0,4,30,3.380952381,No,0
183,97402,1,1,7,28,3.857142857,Yes,5
184,97402,0,1,10,34,7.764705882,No,0
185,97401,1,0,5,32,5.071428571,Yes,5
186,97403,1,0,12,30,11.33333333,Yes,11
187,97404,1,0,8,28,7.176470588,No,0
188,97404,1,1,16,37,13,No,0
189,97401,1,0,20,37,20,Yes,30
190,97402,1,0,15,37,9.142857143,No,0
191,97403,1,1,5,31,4.473684211,Yes,4
192,97402,1,0,15,30,6.552631579,No,0
193,97402,1,0,20,37,15,No,0
194,97401,0,1,7,29,8,Yes,8
195,97402,1,1,5,29,8.888888889,No,0
196,97404,1,1,10,34,6.3125,No,0
197,97404,0,1,20,28,13.95652174,No,0
198,97402,1,1,15,30,15.25,No,0
199,97402,0,1,10,30,6.736842105,No,0
200,97404,0,1,10,17,11.55555556,Yes,19
201,97403,1,1,22,37,17.18181818,Yes,23
202,97404,1,0,20,31,12.5,Yes,11
203,97404,0,1,10,36,11.2,No,0
204,97404,1,0,16,37,9.230769231,No,0
205,97401,1,0,32,32,32.33333333,Yes,41
206,97401,1,1,13,31,8.133333333,Yes,14
207,97404,0,0,20,37,20,No,0
208,97403,1,1,12,29,10.66666667,No,0
209,97404,1,1,10,36,8.571428571,No,0
210,97402,1,0,10,33,11.21052632,No,0
211,97404,1,1,32,31,25.25,No,0
212,97404,0,1,18,28,15.77777778,Yes,17
213,97401,0,0,12,29,7.888888889,No,0
214,97404,1,0,7,28,5.466666667,Yes,5
215,97404,1,0,15,35,14.6,No,0
216,97404,1,0,10,37,11.66666667,No,0
217,97402,1,1,6,31,4.4,Yes,5
218,97404,0,0,10,28,8.0625,No,0
219,97402,0,1,25,36,17.4,No,0
220,97404,0,0,7,28,5.5,Yes,5
221,97401,1,0,10,32,10,No,0
222,97404,1,0,12,31,8.666666667,No,0
223,97404,1,0,10,28,7.285714286,Yes,10
224,97401,1,1,5,31,6.538461539,Yes,8
225,97404,1,0,20,37,11.83333333,Yes,15
226,97404,1,0,5,28,6.210526316,No,0
227,97403,1,1,5,28,5.279069767,Yes,7
228,97402,0,0,10,28,7,No,0
229,97403,1,0,8,30,5.875,No,0
230,97404,0,1,15,37,10,No,0
231,97401,1,1,7,29,7,Yes,7
232,97401,1,0,10,28,10.5,No,0
233,97402,1,0,16,31,9.684210526,No,0
234,97404,1,1,15,35,9,No,0
235,97402,1,1,10,33,14,No,0
236,97401,0,1,10,31,7.2,No,0
237,97401,1,0,20,29,26.25,Yes,25
238,97404,0,1,16,29,12,Yes,13
239,97403,0,0,0,17,15.71428571,No,0
240,97401,1,1,20,30,13.16666667,Yes,20
241,97402,0,1,100,37,75,No,0
242,97403,1,1,20,36,12.5,No,0
243,97404,1,0,6,28,9.6,No,0
244,97401,1,1,10,30,9.222222222,No,0
245,97402,1,0,20,28,15,Yes,20
246,97404,1,1,25,30,21.69230769,Yes,25
247,97404,1,0,20,33,11.66666667,No,0
248,97401,1,1,16,28,14.33333333,No,0
249,97402,1,1,5,17,8.916666667,Yes,5
250,97404,1,0,13,30,12.6,Yes,15
251,97404,1,1,7,31,8.190476191,No,0
252,97404,1,0,15,30,11.66666667,No,0
253,97402,0,1,7,31,3.833333333,No,0
254,97404,1,0,6,32,5.5,Yes,6
255,97403,1,0,25,37,25,No,0
256,97404,1,0,7,34,9,No,0
257,97402,1,0,20,25,15.13636364,No,0
258,97403,1,1,11,37,9.444444444,No,0
259,97404,1,1,5,19,6.04,Yes,5
260,97403,0,1,15,36,12.5,No,0
261,97404,1,1,20,34,15,No,0
262,97402,0,1,15,36,14,No,0
263,97404,1,0,20,33,13.75,No,0
264,97404,1,1,14,37,9.2,Yes,14
265,97401,1,1,10,28,7.038461539,Yes,12
266,97402,0,1,12,31,8.043478261,Yes,12
267,97402,1,0,12,30,6.066666667,No,0
268,97404,1,1,10,32,6.4,Yes,8
269,97404,1,1,16,32,15.33333333,No,0
270,97401,0,1,10,31,4.857142857,No,0
271,97401,0,0,5,31,3.782608696,Yes,5
272,97404,1,1,13,31,9.462962963,Yes,11
273,97404,1,0,10,31,9.666666667,No,0
274,97402,1,0,10,31,8,No,0
275,97402,1,0,17,29,16.33333333,Yes,16
276,97401,1,0,12,35,10.3,No,0
277,97402,1,1,3,31,3.3125,Yes,4
278,97401,1,1,4,29,3.4,No,0
279,97402,0,0,20,36,12.83333333,No,0
280,97402,1,1,10,37,11.25,Yes,10
281,97401,1,1,7,31,7.333333333,Yes,11
282,97401,1,0,11,31,7.466666667,Yes,9
283,97404,1,1,4,29,4.090909091,Yes,2
284,97402,1,1,5,28,4,No,0
285,97402,1,1,6,28,3.857142857,Yes,5
286,97403,1,1,6,30,3.15,No,0
287,97403,1,1,8,34,8.52173913,No,0
288,97403,1,0,15,34,15.66666667,Yes,20
289,97401,1,0,12,29,8.125,No,0
290,97404,1,0,15,31,11.85714286,Yes,10
291,97403,1,1,12,31,12.25,No,0
292,97404,1,1,25,29,15.2173913,Yes,25
293,97403,1,0,6,31,5.8,Yes,6
294,97401,1,0,10,29,10,Yes,10
295,97402,1,0,10,36,15.51428571,No,0
296,97401,1,0,20,36,20,No,0
297,97404,1,1,15,31,6.6,No,0
298,97403,1,0,10,28,8.75,Yes,16
299,97404,1,0,25,36,25,No,0
300,97401,1,0,15,30,11.1,Yes,15
301,97401,0,1,5,29,5.166666667,Yes,7
302,97401,1,0,24,36,11.33333333,Yes,10
303,97404,1,1,10,29,6,Yes,10
304,97403,1,0,15,29,11.42857143,Yes,15
305,97404,1,0,7,30,6.333333333,Yes,9
306,97404,1,1,12,37,9.615384615,No,0
307,97404,1,1,7,17,6.1,No,0
308,97404,0,0,20,37,20,No,0
309,97403,1,0,14,34,9.47125,Yes,12
310,97404,1,1,25,31,19.22222222,No,0
311,97401,1,1,15,34,14.64705882,No,0
312,97401,0,0,12,31,10,No,0
313,97401,1,1,15,28,20,Yes,10
314,97401,0,0,5,29,4.923076923,Yes,5
315,97404,1,0,14,29,11.94444444,Yes,20
316,97404,1,0,10,29,9.1875,Yes,10
317,97404,1,1,7,30,5.947368421,No,0
318,97404,1,1,50,32,35,Yes,25
319,97403,0,0,5,29,4.833333333,Yes,5
320,97404,1,0,5,32,5,No,0
321,97404,0,1,15,32,9.857142857,Yes,13
322,97403,1,1,15,35,8.076923077,Yes,20
323,97403,0,0,15,31,14.16666667,No,0
324,97404,1,1,20,22,13.63636364,Yes,30
325,97403,1,1,11,30,9.0625,Yes,20
326,97404,1,1,14,32,13.6,No,0
327,97401,1,1,10,29,8,Yes,5
328,97402,1,0,40,29,23.66666667,Yes,36
329,97404,1,1,10,29,6.352941177,Yes,3
330,97404,1,0,10,31,11.57142857,No,0
331,97401,1,0,15,33,13.71428571,Yes,15
332,97403,1,1,15,36,13.66666667,No,0
333,97403,1,0,7,31,6,Yes,6
334,97404,1,1,21,36,11,No,0
335,97401,1,1,3,30,3.176470588,No,0
336,97401,1,1,15,30,7.833333333,Yes,10
337,97401,1,1,15,17,9.269230769,Yes,10
338,97404,1,1,15,37,11.18918919,Yes,15
339,97404,1,1,25,31,13,No,0
340,97403,1,1,28,31,17.88888889,Yes,25
341,97402,0,0,10,28,9.333333333,No,0
342,97404,1,1,15,37,8.666666667,Yes,32
343,97401,0,0,20,37,20,Yes,20
344,97403,1,1,10,30,12,No,0
345,97402,1,0,50,37,36.25,No,0
346,97404,1,0,12,37,9.421052632,No,0
347,97404,1,0,7,31,7.333333333,No,0
348,97402,1,1,15,37,10,No,0
349,97403,1,0,23,37,16.27272727,Yes,23
350,97401,1,0,15,36,9,No,0
351,97404,1,1,10,28,7,No,0
352,97403,0,1,3,29,3.619047619,No,0
353,97401,1,1,3,29,4.222222222,Yes,5
354,97404,1,1,5,28,6.25,No,0
355,97404,1,0,7,28,6.6,Yes,12
356,97404,1,0,10,31,9.75862069,Yes,10
357,97403,1,0,6,28,12.2,No,0
358,97404,1,0,15,36,11.25,No,0
359,97403,1,0,4,31,6,No,0
360,97404,1,1,20,36,20,Yes,25
361,97404,1,0,10,29,9,Yes,10
362,97404,0,1,5,31,4.444444444,No,0
363,97403,1,1,20,30,8.8,No,0
364,97403,1,1,15,36,15,No,0
365,97403,1,1,15,37,15,Yes,15
366,97401,0,0,15,29,13.57142857,No,0
367,97403,1,1,3,29,3.5,No,0
368,97402,0,0,20,36,13.33333333,No,0
369,97404,1,0,15,37,15.4,No,0
370,97401,0,1,15,32,12.75,No,0
371,97404,1,1,5,28,5.846153846,Yes,6
372,97404,1,0,20,32,16,Yes,20
373,97404,1,1,15,35,15,Yes,15
374,97403,1,1,10,36,10,No,0
375,97404,1,0,12,31,8.916666667,Yes,10
376,97403,1,0,20,37,12.5,No,0
377,97404,1,1,15,32,10.81818182,Yes,11
378,97403,1,1,10,31,9.666666667,Yes,5
379,97404,0,0,10,30,8.461538462,No,0
380,97404,1,0,26,32,14.07692308,Yes,25
381,97401,1,1,15,36,12,No,0
382,97401,1,1,11,29,7.818181818,Yes,5
383,97403,1,1,3,28,7.714285714,No,0
384,97404,0,0,25,37,25,No,0
385,97402,0,1,20,34,13.16216216,No,0
386,97404,1,1,25,33,22.5,Yes,30
387,97402,1,0,10,31,5.8,No,0
388,97402,1,0,18,29,11.3125,Yes,17
389,97403,1,1,20,31,13.73333333,No,0
390,97404,1,0,16,29,11.46153846,Yes,14
391,97401,0,1,15,31,6.068965517,No,0
392,97403,1,1,6,32,5.086956522,No,0
393,97402,1,1,10,18,9.875,No,0
394,97404,1,1,10,28,6.615384615,No,0
395,97403,1,0,4,28,4.272727273,No,0
396,97404,0,1,8,32,5,Yes,7
397,97404,0,0,15,30,12.5,Yes,12
398,97404,1,1,10,29,10,Yes,7
399,97401,1,1,10,31,7.214285714,Yes,10
400,97404,1,1,3,32,7.866666667,No,0
401,97403,1,0,16,33,12,No,0
402,97403,1,0,20,31,12.05555556,Yes,20
403,97404,0,0,12,31,7.444444444,Yes,11
404,97402,1,1,14,30,8.684210526,No,0
405,97404,1,0,5,31,4.318181818,No,0
406,97401,0,1,15,17,11.54545455,Yes,14
407,97401,1,1,2,35,3.3,No,0
408,97401,1,1,3,17,5.142857143,Yes,5
409,97403,1,0,10,30,7.857142857,Yes,10
410,97401,1,0,4,29,4.8,No,0
411,97402,0,1,7,29,6,Yes,7
412,97402,0,1,16,32,13,No,0
413,97404,1,1,22,30,11.8,No,0
414,97402,1,1,20,31,16.45454546,No,0
415,97403,1,1,16,37,13,No,0
416,97404,1,1,5,30,4.777777778,Yes,5
417,97404,1,1,10,30,4.571428571,Yes,10
418,97401,0,1,5,31,3.941176471,No,0
419,97404,1,1,3,26,3.035714286,Yes,3
420,97402,0,0,10,31,7.333333333,Yes,10
421,97404,0,1,10,29,7.84375,Yes,11
422,97402,1,0,7,31,5.5,No,0
423,97403,1,1,10,29,7.222222222,No,0
424,97403,0,0,25,19,17.5,No,0
425,97401,1,1,25,32,24,Yes,31
426,97401,1,1,10,29,8.444444444,No,0
427,97402,1,1,12,31,9.909090909,No,0
428,97403,0,1,20,27,10.75,No,0
429,97404,1,1,5,28,5.8,Yes,11
430,97404,1,1,16,29,12.80769231,Yes,21
431,97404,1,1,25,31,16.28571429,No,0
432,97404,0,0,15,28,14.86666667,Yes,10
433,97401,1,0,10,29,7.7,No,0
434,97403,1,1,6,32,5.9375,Yes,4
435,97403,0,1,20,36,12.5,No,0
436,97403,1,1,5,19,15,Yes,5
437,97404,1,1,3,28,4,Yes,4
438,97404,1,1,10,29,6.058823529,No,0
439,97404,1,1,20,37,16.66666667,No,0
440,97402,1,1,11,31,8,No,0
441,97401,1,1,6,31,6.6,Yes,15
442,97404,1,0,20,33,11.90909091,No,0
443,97401,1,1,35,21,22.38095238,Yes,33
444,97401,1,1,13,30,9.8,No,0
445,97401,1,0,10,28,7.8,No,0
446,97402,1,1,20,36,13.75,No,0
447,97401,1,0,15,28,12.92307692,Yes,15
448,97403,1,1,10,35,9.4,No,0
449,97401,1,1,5,18,8.642857143,Yes,15
450,97401,1,0,10,31,10.71428571,Yes,11
451,97404,1,0,25,30,15.0625,Yes,50
452,97404,1,0,5,30,4.272727273,Yes,11
453,97401,0,1,10,30,6.2,No,0
454,97401,1,1,10,33,5.5,Yes,12
455,97404,1,1,5,30,6.625,No,0
456,97404,0,1,5,31,7,No,0
457,97404,1,0,3,25,3.106060606,Yes,4
458,97404,1,1,25,35,9.482758621,No,0
459,97404,1,0,20,37,20,Yes,35
460,97401,1,0,6,31,3.818181818,Yes,5
461,97402,0,1,10,30,7.043478261,No,0
462,97404,1,0,15,36,8.7,No,0
463,97403,1,1,10,30,7.111111111,No,0
464,97403,1,1,15,34,15,No,0
465,97404,0,0,10,34,7.428571429,No,0
466,97403,1,1,25,37,25,Yes,25
467,97401,1,0,7,31,6.166666667,No,0
468,97404,1,0,6,30,4.5,Yes,5
469,97401,1,0,4,28,5,Yes,4
470,97403,1,1,50,33,22.17391304,No,0
471,97403,0,1,30,29,13,Yes,30
472,97402,0,0,10,28,11.85714286,No,0
473,97401,1,1,12,31,10.66666667,No,0
474,97402,1,1,5,28,8.333333333,Yes,10
475,97404,1,1,10,29,10.5,No,0
476,97404,1,0,15,32,15,Yes,15
477,97401,1,0,25,35,19.2,No,0
478,97404,1,1,4,28,3.411764706,Yes,1
479,97401,1,0,6,28,6.6,Yes,10
480,97404,1,1,8,28,7,Yes,5
481,97404,0,0,13,27,13.25,Yes,12
482,97402,1,1,9,35,7.2,Yes,10
483,97403,0,0,25,37,17.5,No,0
484,97404,0,1,19,33,13.42857143,Yes,19
485,97404,1,1,7,28,7.666666667,Yes,9
486,97401,0,1,15,30,17.5,No,0
487,97402,0,1,10,18,7.571428571,Yes,10
488,97405,0,1,10,31,6.3,No,0
489,97404,1,0,15,36,12.015,No,0
490,97401,1,1,25,31,18.6,No,0
491,97404,1,0,20,34,16.05555556,No,0
492,97401,1,1,5,29,6.1,Yes,10
493,97404,1,1,16,33,8.666666667,No,0
494,97401,1,1,20,36,23.5,No,0
495,97403,1,1,3,29,4.761904762,No,0
496,97404,1,1,50,34,18.18181818,No,0
497,97404,0,1,7,28,3.75,Yes,4
498,97402,1,1,3,31,3.727272727,Yes,2
499,97401,1,0,17,34,10.7,Yes,16
500,97402,1,0,20,34,14.3,No,0
501,97403,1,0,6,34,4.363636364,No,0
502,97404,1,1,50,37,30.75,Yes,100
503,97403,1,0,20,34,15,Yes,20
504,97403,1,1,17,29,12.82352941,No,0
505,97404,0,1,6,33,5.611111111,Yes,10
506,97401,1,1,10,28,7,No,0
507,97403,1,0,10,28,7.4,No,0
508,97402,1,1,5,28,6.625,No,0
509,97403,1,0,27,37,22.25,Yes,20
510,97402,1,0,6,31,4.590909091,Yes,9
511,97401,1,0,6,32,7,No,0
512,97401,0,0,10,31,10,Yes,10
513,97403,0,0,20,31,13.33333333,No,0
514,97404,1,1,20,31,10.2,No,0
515,97404,0,1,1,24,6.666666667,No,0
516,97404,1,1,10,30,8.434782609,Yes,10
517,97401,1,0,15,29,11.85714286,Yes,20
518,97402,1,1,10,36,7.291666667,No,0
519,97403,1,1,10,29,7.833333333,Yes,5
520,97404,1,0,10,28,8,No,0
521,97402,1,0,20,37,12.86956522,No,0
522,97402,1,1,20,31,19,No,0
523,97404,0,0,5,28,4.842105263,Yes,5
524,97401,1,0,15,29,9.4,No,0
525,97402,1,1,5,28,7.75,Yes,5
526,97404,1,1,18,36,10.11111111,No,0
527,97404,1,0,15,37,15,Yes,5
528,97404,0,0,21,31,17.44444444,No,0
529,97402,0,1,10,28,8.5,No,0
530,97404,1,0,25,23,19.47058824,Yes,20
531,97402,1,1,7,28,4.888888889,No,0
532,97402,1,0,15,28,10,Yes,15
533,97401,1,0,8,31,6.4,No,0
534,97403,1,0,8,19,7.823529412,Yes,7
535,97403,1,0,10,30,9.647058824,No,0
536,97401,0,1,25,17,19.59090909,No,0
537,97404,1,1,19,32,12.85714286,Yes,25
538,97404,1,0,5,31,3.113636364,No,0
539,97401,0,0,14,31,8.75,Yes,20
540,97403,0,0,5,32,9.181818182,No,0
541,97401,1,0,50,37,23.6,No,0
542,97404,1,1,10,31,8.0625,No,0
543,97404,1,1,5,30,5.333333333,Yes,5
544,97403,1,1,4,28,4.5625,No,0
545,97404,1,0,25,37,25,No,0
546,97401,1,1,10,35,6.25,Yes,8
547,97403,0,0,16,37,10.33333333,No,0
548,97404,0,1,3,30,2.914893617,No,0
549,97402,1,1,4,37,4.272727273,No,0
550,97403,1,1,19,17,10.62921348,Yes,32
551,97404,1,1,8,37,10.2,No,0
552,97404,1,0,35,32,31.36363636,No,0
553,97403,1,1,20,32,10.75,Yes,20
554,97404,1,1,10,32,8,Yes,10
555,97404,1,1,20,30,11,No,0
556,97402,1,1,15,29,13.66666667,Yes,21
557,97403,1,1,10,29,4.576923077,Yes,10
558,97403,1,1,5,28,5.375,Yes,5
559,97401,1,1,10,29,10,Yes,10
560,97403,0,0,10,29,8.8,No,0
561,97404,0,1,10,28,7,Yes,10
562,97402,0,0,5,32,5,No,0
563,97404,1,0,25,31,23.33333333,No,0
564,97404,1,1,3,18,3.642857143,Yes,3
565,97403,1,1,25,31,20.75,No,0
566,97404,1,0,15,34,15,No,0
567,97403,1,1,8,30,7.428571429,Yes,8
568,97401,0,1,5,29,5.333333333,No,0
569,97404,1,1,10,31,6.8,Yes,10
570,97402,1,1,3,37,4.619047619,No,0
571,97403,0,1,5,30,2.445945946,Yes,6
572,97401,1,1,7,30,7.333333333,Yes,20
573,97402,1,1,16,37,10.5,No,0
574,97402,1,1,10,29,6,Yes,8
575,97402,0,0,13,19,11.22727273,Yes,20
576,97404,1,0,5,35,5.5,No,0
577,97404,1,1,11,17,8.864864865,Yes,15
578,97403,1,1,10,30,6.666666667,Yes,6
579,97401,1,0,25,31,10,No,0
580,97403,0,1,0,26,10,No,0
581,97404,1,0,15,37,11.66666667,Yes,15
582,97402,1,0,20,29,13,Yes,15
583,97404,1,1,7,29,6,No,0
584,97403,1,1,10,31,7.666666667,Yes,5
585,97401,1,1,10,30,7.777777778,No,0
586,97404,1,0,10,36,11.68421053,No,0
587,97402,1,1,20,32,13.33333333,No,0
588,97404,1,0,25,33,22.5,Yes,22
589,97404,1,0,10,29,7.272727273,No,0
590,97402,1,0,5,29,5,No,0
591,97401,0,0,20,29,12,No,0
592,97402,0,0,10,33,6.25,No,0
593,97402,0,0,15,33,9.833333333,No,0
594,97402,1,1,16,37,10.85714286,No,0
595,97403,1,0,10,32,8.142857143,Yes,10
596,97401,0,0,50,37,50,No,0
597,97404,1,1,5,17,7.333333333,Yes,5
598,97403,1,1,7,29,4.272727273,Yes,5
599,97403,1,0,25,37,11,No,0
600,97404,1,0,20,31,17.66666667,No,0
601,97404,1,1,5,31,3.55,Yes,3
602,97404,0,0,20,35,11.66666667,Yes,10
603,97401,1,1,25,37,20.5,No,0
604,97402,0,1,10,30,5.615384615,Yes,7
605,97404,0,1,25,37,25,No,0
606,97404,1,1,5,31,5.357142857,Yes,10
607,97404,1,0,7,30,6.75,Yes,7
608,97402,1,0,6,31,13.83333333,No,0
609,97402,0,1,7,31,5.125,No,0
610,97402,1,1,15,37,7.3,Yes,10
611,97404,1,1,15,33,7.666666667,No,0
612,97404,1,1,15,31,10,No,0
613,97404,1,0,25,19,13.15789474,No,0
614,97404,1,0,12,32,8.454545455,Yes,11
